Fiscal Year,Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,MSPB-1 Achievement Threshold,MSPB-1 Benchmark,MSPB-1 Baseline Rate,MSPB-1 Performance Rate,MSPB-1 Achievement Points,MSPB-1 Improvement Points,MSPB-1 Measure Score
2024,10001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,0.98892,0.84816,1.020251,1.029341,0 out of 10,0 out of 9,0 out of 10
2024,10005,MARSHALL MEDICAL CENTERS,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,0.98892,0.84816,1.011867,0.949566,3 out of 10,3 out of 9,3 out of 10
2024,10006,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,FLORENCE,AL,35630,LAUDERDALE,0.98892,0.84816,1.016924,1.002782,0 out of 10,0 out of 9,0 out of 10
2024,10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,0.98892,0.84816,1.110418,0.977973,1 out of 10,5 out of 9,5 out of 10
2024,10011,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,0.98892,0.84816,1.029416,0.997096,0 out of 10,1 out of 9,1 out of 10
2024,10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DEKALB,0.98892,0.84816,0.977056,1.031967,0 out of 10,0 out of 9,0 out of 10
2024,10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,0.98892,0.84816,1.043276,1.051672,0 out of 10,0 out of 9,0 out of 10
2024,10019,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,0.98892,0.84816,1.089104,1.101367,0 out of 10,0 out of 9,0 out of 10
2024,10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,0.98892,0.84816,1.073415,1.026298,0 out of 10,2 out of 9,2 out of 10
2024,10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,0.98892,0.84816,1.02222,1.044723,0 out of 10,0 out of 9,0 out of 10
2024,10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,MONTGOMERY,0.98892,0.84816,1.028768,1.050795,0 out of 10,0 out of 9,0 out of 10
2024,10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,0.98892,0.84816,0.976693,0.991096,0 out of 10,0 out of 9,0 out of 10
2024,10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,CULLMAN,0.98892,0.84816,0.991098,0.955867,3 out of 10,2 out of 9,3 out of 10
2024,10036,ANDALUSIA HEALTH,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,COVINGTON,0.98892,0.84816,0.974433,0.942427,3 out of 10,2 out of 9,3 out of 10
2024,10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,MADISON,0.98892,0.84816,1.009971,1.012438,0 out of 10,0 out of 9,0 out of 10
2024,10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,ETOWAH,0.98892,0.84816,1.049757,1.074943,0 out of 10,0 out of 9,0 out of 10
2024,10045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,FAYETTE,0.98892,0.84816,0.924763,0.937728,4 out of 10,0 out of 9,4 out of 10
2024,10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,ETOWAH,0.98892,0.84816,0.941294,0.955461,3 out of 10,0 out of 9,3 out of 10
2024,10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,COFFEE,0.98892,0.84816,0.952116,0.934032,4 out of 10,1 out of 9,4 out of 10
2024,10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,HOUSTON,0.98892,0.84816,1.028246,1.021858,0 out of 10,0 out of 9,0 out of 10
2024,10056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,JEFFERSON,0.98892,0.84816,1.039442,1.000143,0 out of 10,2 out of 9,2 out of 10
2024,10061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,JACKSON,0.98892,0.84816,1.009078,0.942219,3 out of 10,4 out of 9,4 out of 10
2024,10065,RUSSELL MEDICAL CENTER,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,TALLAPOOSA,0.98892,0.84816,0.98923,0.916095,5 out of 10,5 out of 9,5 out of 10
2024,10069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,EUFAULA,AL,36027,BARBOUR,0.98892,0.84816,1.013255,1.079824,0 out of 10,0 out of 9,0 out of 10
2024,10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,CALHOUN,0.98892,0.84816,1.029918,1.071352,0 out of 10,0 out of 9,0 out of 10
2024,10079,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,LIMESTONE,0.98892,0.84816,0.963704,1.03664,0 out of 10,0 out of 9,0 out of 10
2024,10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,BALDWIN,0.98892,0.84816,0.951887,0.941353,4 out of 10,1 out of 9,4 out of 10
2024,10085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,AL,35601,MORGAN,0.98892,0.84816,0.985957,0.981472,1 out of 10,0 out of 9,1 out of 10
2024,10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,35594,MARION,0.98892,0.84816,1.017158,0.998808,0 out of 10,1 out of 9,1 out of 10
2024,10089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,AL,35502,WALKER,0.98892,0.84816,1.014207,0.970077,2 out of 10,2 out of 9,2 out of 10
2024,10090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,AL,36608,MOBILE,0.98892,0.84816,0.975794,0.967146,2 out of 10,0 out of 9,2 out of 10
2024,10092,DCH REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,TUSCALOOSA,0.98892,0.84816,0.98874,0.984736,1 out of 10,0 out of 9,1 out of 10
2024,10099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,BREWTON,AL,36426,ESCAMBIA,0.98892,0.84816,1.003518,0.910248,6 out of 10,6 out of 9,6 out of 10
2024,10100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,BALDWIN,0.98892,0.84816,0.956337,0.948008,3 out of 10,0 out of 9,3 out of 10
2024,10101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,AL,35161,TALLADEGA,0.98892,0.84816,0.955343,0.891414,7 out of 10,5 out of 9,7 out of 10
2024,10103,PRINCETON BAPTIST MEDICAL CENTER,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211,JEFFERSON,0.98892,0.84816,1.014047,1.036939,0 out of 10,0 out of 9,0 out of 10
2024,10104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,BIRMINGHAM,AL,35243,JEFFERSON,0.98892,0.84816,1.023866,1.025132,0 out of 10,0 out of 9,0 out of 10
2024,10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,AUTAUGA,0.98892,0.84816,0.947684,1.0174,0 out of 10,0 out of 9,0 out of 10
2024,10112,WHITFIELD REGIONAL HOSPITAL,105 HIGHWAY 80 EAST,DEMOPOLIS,AL,36732,MARENGO,0.98892,0.84816,0.901927,0.871633,8 out of 10,5 out of 9,8 out of 10
2024,10113,MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36607,MOBILE,0.98892,0.84816,0.996281,1.019548,0 out of 10,0 out of 9,0 out of 10
2024,10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,BESSEMER,AL,35021,JEFFERSON,0.98892,0.84816,1.01349,0.958276,2 out of 10,3 out of 9,3 out of 10
2024,10118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,SELMA,AL,36701,DALLAS,0.98892,0.84816,0.98183,0.94061,4 out of 10,3 out of 9,4 out of 10
2024,10125,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E,HALEYVILLE,AL,35565,WINSTON,0.98892,0.84816,0.916808,1.031983,0 out of 10,0 out of 9,0 out of 10
2024,10126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,AL,36081,PIKE,0.98892,0.84816,0.973036,1.083554,0 out of 10,0 out of 9,0 out of 10
2024,10130,ST VINCENT'S ST CLAIR,7063 VETERANS PARKWAY,PELL CITY,AL,35125,ST. CLAIR,0.98892,0.84816,0.927035,0.850354,9 out of 10,9 out of 9,9 out of 10
2024,10131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801,MADISON,0.98892,0.84816,0.958595,0.948581,3 out of 10,0 out of 9,3 out of 10
2024,10139,BROOKWOOD BAPTIST MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,AL,35209,JEFFERSON,0.98892,0.84816,1.079399,1.105388,0 out of 10,0 out of 9,0 out of 10
2024,10144,SPRINGHILL MEDICAL CENTER,3719 DAUPHIN STREET,MOBILE,AL,36608,MOBILE,0.98892,0.84816,0.960405,0.969733,2 out of 10,0 out of 9,2 out of 10
2024,10148,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,EVERGREEN,AL,36401,CONECUH,0.98892,0.84816,0.916417,0.914531,5 out of 10,0 out of 9,5 out of 10
2024,10149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,MONTGOMERY,AL,36117,MONTGOMERY,0.98892,0.84816,0.988409,0.98234,1 out of 10,0 out of 9,1 out of 10
2024,10158,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,RUSSELLVILLE,AL,35653,FRANKLIN,0.98892,0.84816,0.976946,1.111422,0 out of 10,0 out of 9,0 out of 10
2024,10164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,AL,35150,TALLADEGA,0.98892,0.84816,0.978418,0.926114,5 out of 10,4 out of 9,5 out of 10
2024,20001,PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DRIVE,ANCHORAGE,AK,99508,ANCHORAGE,0.98892,0.84816,0.92311,0.948665,3 out of 10,0 out of 9,3 out of 10
2024,20006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,PALMER,AK,99645,MATANUSKA-SUSITNA,0.98892,0.84816,0.826209,0.832588,10 out of 10,0 out of 9,10 out of 10
2024,20008,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,JUNEAU,AK,99801,JUNEAU,0.98892,0.84816,0.938032,0.937082,4 out of 10,0 out of 9,4 out of 10
2024,20012,FAIRBANKS MEMORIAL HOSPITAL,1650 COWLES STREET,FAIRBANKS,AK,99701,FAIRBANKS NORTH STAR,0.98892,0.84816,0.823364,0.842658,10 out of 10,0 out of 9,10 out of 10
2024,20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,99508,ANCHORAGE,0.98892,0.84816,0.896693,0.925967,5 out of 10,0 out of 9,5 out of 10
2024,20024,CENTRAL PENINSULA GENERAL HOSPITAL,250 HOSPITAL PLACE,SOLDOTNA,AK,99669,KENAI PENINSULA,0.98892,0.84816,0.861511,0.842389,10 out of 10,9 out of 9,10 out of 10
2024,20026,ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DR,ANCHORAGE,AK,99508,ANCHORAGE,0.98892,0.84816,0.909977,0.89477,7 out of 10,2 out of 9,7 out of 10
2024,30002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,1111 EAST MCDOWELL ROAD,PHOENIX,AZ,85006,MARICOPA,0.98892,0.84816,0.972572,1.016276,0 out of 10,0 out of 9,0 out of 10
2024,30006,TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD,TUCSON,AZ,85712,PIMA,0.98892,0.84816,1.022003,1.040495,0 out of 10,0 out of 9,0 out of 10
2024,30007,VERDE VALLEY MEDICAL CENTER,269 SOUTH CANDY LANE,COTTONWOOD,AZ,86326,YAVAPAI,0.98892,0.84816,0.969518,0.972107,2 out of 10,0 out of 9,2 out of 10
2024,30010,ST. MARY'S HOSPITAL,1601 WEST ST MARY'S ROAD,TUCSON,AZ,85745,PIMA,0.98892,0.84816,1.012152,1.012885,0 out of 10,0 out of 9,0 out of 10
2024,30011,ST JOSEPH'S HOSPITAL,350 NORTH WILMOT ROAD,TUCSON,AZ,85711,PIMA,0.98892,0.84816,1.035693,1.010635,0 out of 10,1 out of 9,1 out of 10
2024,30012,YAVAPAI REGIONAL MEDICAL CENTER,1003 WILLOW CREEK ROAD,PRESCOTT,AZ,86301,YAVAPAI,0.98892,0.84816,0.991372,1.014925,0 out of 10,0 out of 9,0 out of 10
2024,30013,YUMA REGIONAL MEDICAL CENTER,2400 SOUTH AVENUE A,YUMA,AZ,85364,YUMA,0.98892,0.84816,0.980213,1.006308,0 out of 10,0 out of 9,0 out of 10
2024,30014,JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL,250 EAST DUNLAP AVENUE,PHOENIX,AZ,85020,MARICOPA,0.98892,0.84816,0.993993,0.993008,0 out of 10,0 out of 9,0 out of 10
2024,30016,BANNER CASA GRANDE MEDICAL CENTER,1800 EAST FLORENCE BOULEVARD,CASA GRANDE,AZ,85122,PINAL,0.98892,0.84816,0.955324,0.945645,3 out of 10,0 out of 9,3 out of 10
2024,30022,VALLEYWISE HEALTH MEDICAL CENTER,2601 EAST ROOSEVELT STREET,PHOENIX,AZ,85008,MARICOPA,0.98892,0.84816,0.988226,1.039069,0 out of 10,0 out of 9,0 out of 10
2024,30023,FLAGSTAFF MEDICAL CENTER,1200 NORTH BEAVER STREET,FLAGSTAFF,AZ,86001,COCONINO,0.98892,0.84816,1.015037,1.034116,0 out of 10,0 out of 9,0 out of 10
2024,30024,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,350 WEST THOMAS ROAD,PHOENIX,AZ,85013,MARICOPA,0.98892,0.84816,0.99608,1.018554,0 out of 10,0 out of 9,0 out of 10
2024,30030,ABRAZO CENTRAL CAMPUS,2000 WEST BETHANY HOME ROAD,PHOENIX,AZ,85015,MARICOPA,0.98892,0.84816,1.035721,1.04045,0 out of 10,0 out of 9,0 out of 10
2024,30036,CHANDLER REGIONAL MEDICAL CENTER,1955 WEST FRYE ROAD,CHANDLER,AZ,85224,MARICOPA,0.98892,0.84816,1.042383,1.028614,0 out of 10,0 out of 9,0 out of 10
2024,30037,TEMPE ST LUKES HOSPITAL,1500 S MILL AVE,TEMPE,AZ,85282,MARICOPA,0.98892,0.84816,0.978249,0.959343,2 out of 10,1 out of 9,2 out of 10
2024,30038,HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER,7400 EAST OSBORN ROAD,SCOTTSDALE,AZ,85251,MARICOPA,0.98892,0.84816,1.004937,0.977072,1 out of 10,1 out of 9,1 out of 10
2024,30043,CANYON VISTA MEDICAL CENTER,5700 EAST HIGHWAY 90,SIERRA VISTA,AZ,85635,COCHISE,0.98892,0.84816,0.92716,0.975638,1 out of 10,0 out of 9,1 out of 10
2024,30055,KINGMAN REGIONAL MEDICAL CENTER,3269 STOCKTON HILL ROAD,KINGMAN,AZ,86401,MOHAVE,0.98892,0.84816,0.908515,0.886007,7 out of 10,3 out of 9,7 out of 10
2024,30061,BANNER BOSWELL MEDICAL CENTER,10401 WEST THUNDERBIRD BOULEVARD,SUN CITY,AZ,85351,MARICOPA,0.98892,0.84816,0.945246,0.954377,3 out of 10,0 out of 9,3 out of 10
2024,30062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,2200 EAST SHOW LOW LAKE ROAD,SHOW LOW,AZ,85901,NAVAJO,0.98892,0.84816,0.88061,0.875239,8 out of 10,1 out of 9,8 out of 10
2024,30064,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,1625 NORTH CAMPBELL AVENUE,TUCSON,AZ,85719,PIMA,0.98892,0.84816,1.009342,1.009712,0 out of 10,0 out of 9,0 out of 10
2024,30065,BANNER DESERT MEDICAL CENTER,1400 SOUTH  DOBSON ROAD,MESA,AZ,85202,MARICOPA,0.98892,0.84816,1.034337,1.039051,0 out of 10,0 out of 9,0 out of 10
